DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
2014-08-17,104-07,37.0567,130.0,24.4001,24.2218,20.8844,17.0156,15.9693,14.2357,11.8739,6.7351,3.4587,1.4858,1.1306,0.9859,0.7879999999999999,0.6465,0.7243
2014-10-20,104-07,37.0567,130.0,21.6953,21.6886,21.6995,21.7146,21.665,16.8517,14.1924,9.6179,4.497,1.6928,1.18,0.9937,0.7671,0.6124,0.8410000000000001
2014-12-10,104-07,37.0567,130.0,16.8739,16.8857,16.8808,16.8253,16.5707,16.369,16.0031,11.9273,5.178,1.8834,1.1991,0.9886,0.7544,0.6015,0.7562
2015-02-12,104-07,37.0567,130.0,11.1282,11.1192,11.1243,11.123,11.1214,10.828,10.561,10.3141,8.9486,4.073,2.1702,1.2907,0.8707,0.7022,0.6824
2015-04-16,104-07,37.0567,130.0,12.2867,12.2891,12.104000000000001,11.966,11.7803,11.2841,10.7224,10.0557,9.1007,5.9771,2.9868,1.5889,0.9853,0.7604,0.5991000000000001
2015-06-15,104-07,37.0567,130.0,20.4527,19.7185,15.6493,15.1797,15.3994,15.0027,12.8178,8.7883,6.2062,2.8486,1.7747,1.2224,0.8968,0.7432,0.6802
2015-08-10,104-07,37.0567,130.0,24.2069,21.3058,18.7142,17.3325,15.5282,14.3549,11.6072,10.5115,9.4598,3.6966,1.7382,1.439,1.0615,0.8469,0.795
2015-10-24,104-07,37.0567,130.0,21.3918,21.3944,21.4165,21.3092,19.5875,14.9852,11.9573,10.3602,8.6537,3.3642,1.6114,1.2672,0.8915,0.7474,0.8743000000000001
2015-12-10,104-07,37.0567,130.0,16.6489,16.6463,16.2388,15.2402,15.174000000000001,14.2003,13.7035,10.2022,7.7586,3.1014,1.6448,1.2571,0.9065,0.7624,0.752
2016-02-23,104-07,37.0567,130.0,10.8104,10.8129,10.814,10.8173,10.8194,10.8163,10.2768,9.8207,8.1084,4.7318,1.9949,1.32,0.9161,0.7585,0.6519
